Year	DECJAN	JANFEB	FEBMAR	MARAPR	APRMAY	MAYJUN	JUNJUL	JULAUG	AUGSEP	SEPOCT	OCTNOV	NOVDEC
2009	-1	-0.85	-0.93	-0.8	-0.71	-0.07	0.48	0.52	0.4	0.57	1.05	0.96
2010	0.94	1.28	1.32	0.49	-0.16	-1.31	-2.41	-2.39	-2.27	-2.17	-2.02	-1.9
2011	-1.82	-1.62	-1.79	-1.72	-1.27	-1.05	-0.83	-0.87	-1.15	-1.36	-1.2	-1.23
2012	-1.07	-0.68	-0.59	-0.42	-0.34	-0.28	0.31	-0.04	-0.31	-0.21	-0.07	-0.06
2013	-0.05	-0.07	-0.14	-0.36	-0.7	-1.17	-0.85	-0.51	-0.38	-0.17	-0.18	-0.35
2014	-0.5	-0.43	-0.08	-0.16	-0.18	0	0.33	0.16	-0.14	0.07	0.34	0.33
2015	0.22	0.05	0.13	0.34	0.94	1.86	1.75	1.93	2.22	2.12	1.9	1.91
2016	1.95	1.82	1.33	1.33	1.24	0.35	-0.51	-0.29	-0.35	-0.61	-0.52	-0.35
2017	-0.41	-0.41	-0.58	-0.2	0.18	-0.28	-0.68	-0.76	-0.8	-0.63	-0.63	-0.74
2018	-0.78	-0.7	-0.79	-1.3	-0.93	-0.51	-0.16	0.36	0.52	0.41	0.27	0.14
